Table Name,Column Name,Description,Sample Value
Account Created,$insert_id,"A unique identifier for the event, used for deduplication. (column from 'Account Created' table, used to represent '$insert_id' in data).",c7dc3b7df8b902b0d34f28db8b9c4bd8
Account Created,$source,"The source of where the data is coming from. (column from 'Account Created' table, used to represent '$source' in data).",Vendo - Stripe
Account Created,distinct_id,"The unique identifier of the user. (column from 'Account Created' table, used to represent 'distinct_id' in data).",12345
Account Created,$email,"The user's email address. (column from 'Account Created' table, used to represent '$email' in data).",user@example.com
Account Created,stripe_customer_id,"The Stripe customer ID. (column from 'Account Created' table, used to represent 'stripe_customer_id' in data).",cus_1234567890
Account Created,ip,"IP address of the user (set to '0' by default). (column from 'Account Created' table, used to represent 'ip' in data).",0
Account Created,time,"The timestamp of the event in milliseconds. (column from 'Account Created' table, used to represent 'time' in data).",1674578999000
Account Created,_timestamp,"The timestamp of the event in milliseconds (same as time). (column from 'Account Created' table, used to represent '_timestamp' in data).",1674578999000
$user,$ignore_time,"No description provided. (column from '$user' table, used to represent '$ignore_time' in data).",
$user,$distinct_id,"The unique identifier for the user (column from '$user' table, used to represent '$distinct_id' in data).",12345
$user,$created,"The creation date of the customer profile (column from '$user' table, used to represent '$created' in data).",2025-01-01T12:00:00Z
$user,stripe_customer_id,"The unique customer ID from Stripe (column from '$user' table, used to represent 'stripe_customer_id' in data).",cus_12345
$user,$email,"The email address associated with the customer (column from '$user' table, used to represent '$email' in data).",user@example.com
$user,ip,"The IP address of the customer (column from '$user' table, used to represent 'ip' in data).",0
Payment Received,$insert_id,"A unique identifier for the event, used for deduplication. (column from 'Payment Received' table, used to represent '$insert_id' in data).",c7dc3b7df8b902b0d34f28db8b9c4bd8
Payment Received,$source,"The source of the event. (column from 'Payment Received' table, used to represent '$source' in data).",Vendo - Stripe
Payment Received,distinct_id,"The unique identifier of the user who made the payment. (column from 'Payment Received' table, used to represent 'distinct_id' in data).",12345
Payment Received,time,"The timestamp when the payment was received. (column from 'Payment Received' table, used to represent 'time' in data).",1625077753000
Payment Received,_timestamp,"The timestamp of when the event was logged. (column from 'Payment Received' table, used to represent '_timestamp' in data).",1625077753000
Payment Received,stripe_customer_id,"The Stripe customer ID associated with the payment. (column from 'Payment Received' table, used to represent 'stripe_customer_id' in data).",cus_JhLFiLp8Ymz77B
Payment Received,$email,"The email address associated with the payment. (column from 'Payment Received' table, used to represent '$email' in data).",customer@example.com
Payment Received,charge_id,"The unique identifier for the charge on Stripe. (column from 'Payment Received' table, used to represent 'charge_id' in data).",ch_1JXkeu2eZvKYlo2CWsNAlVh6
Payment Received,customer_payment_currency,"The currency used by the customer to make the payment. (column from 'Payment Received' table, used to represent 'customer_payment_currency' in data).",USD
Payment Received,customer_payment_amount,"The amount paid by the customer in their currency. (column from 'Payment Received' table, used to represent 'customer_payment_amount' in data).",100.0
Payment Received,stripe_currency,"The currency in which the payment was processed on Stripe. (column from 'Payment Received' table, used to represent 'stripe_currency' in data).",USD
Payment Received,stripe_payment_amount,"The amount processed by Stripe after any fees in the Stripe currency. (column from 'Payment Received' table, used to represent 'stripe_payment_amount' in data).",97.5
Payment Received,stripe_net_amount,"The net amount received by the seller after Stripe's fees. (column from 'Payment Received' table, used to represent 'stripe_net_amount' in data).",95.0
Payment Received,stripe_processing_fees,"The fees Stripe charged for processing the payment. (column from 'Payment Received' table, used to represent 'stripe_processing_fees' in data).",2.5
Payment Received,invoice_id,"The unique identifier for the invoice related to the payment. (column from 'Payment Received' table, used to represent 'invoice_id' in data).",inv_1JXkeu2eZvKYlo2CVrFNi3z0
Payment Received,description,"A description of the payment or invoice. (column from 'Payment Received' table, used to represent 'description' in data).",Payment for subscription
Payment Received,outcome_seller_message,"A message from the seller regarding the outcome of the payment. (column from 'Payment Received' table, used to represent 'outcome_seller_message' in data).",Payment successful
